chi_IL,chi_cell
0.069929228,0.098819124
0.070850548,0.100229696
0.150635605,0.322374064
0.152858341,0.312511643
0.151702924,0.33359284
0.204540752,0.427433074
0.201166604,0.462184055
0.200088939,0.451315546
0.303335072,0.564045218
0.300751594,0.555853533
0.296893221,0.598760935
0.401732064,0.597966865
0.40176114,0.624349284
0.403466245,0.654859752
0.496148255,0.600880577
0.501263444,0.667384306
0.497636425,0.753571857
0.64995218,0.700604691
0.649294952,0.804699504
0.654158262,0.762403695
0.799633555,0.815126301
0.803002879,0.845861405
0.069929228,0.116955172
0.070850548,0.119873972
0.150635605,0.353468192
0.152858341,0.336664653
0.151702924,0.346519894
0.204540752,0.451602202
0.201166604,0.498445958
0.200088939,0.466841866
0.303335072,0.604402955
0.300751594,0.595806453
0.296893221,0.609303913
0.401732064,0.679473886
0.40176114,0.669240417
0.403466245,0.666161415
0.496148255,0.723742215
0.501263444,0.759512763
0.497636425,0.768893005
0.64995218,0.773898338
0.649294952,0.823509102
0.654158262,0.789144874
0.799633555,0.855902049
0.803002879,0.881319773
1,0.814583918
1,0.913622446
1,0.851052802
1,0.855980644
1,0.933840491
1,0.884327042
