chi_IL,chi_cell
0.157365964,0.160968083
0.153159764,0.176675448
0.145731271,0.162210148
0.256199913,0.369302558
0.24739994,0.329624059
0.240799156,0.340309563
0.361926679,0.493176986
0.365170779,0.486005733
0.359372022,0.479463491
0.499170826,0.6080246
0.498991966,0.622381521
0.498177437,0.620815016
0.653243969,0.767842312
0.654718704,0.795511308
0.645883567,0.76644996
0.79783035,0.847129546
0.804722546,0.833376342
0.796511566,0.836302206
0.897979045,0.97088999
0.900353355,0.966204454
0.157365964,0.189595681
0.153159764,0.182296997
0.145731271,0.171682929
0.256199913,0.381440278
0.24739994,0.353344647
0.240799156,0.352763806
0.361926679,0.521228512
0.365170779,0.516656418
0.359372022,0.498503182
0.499170826,0.65496274
0.498991966,0.633155655
0.498177437,0.631630073
0.653243969,0.807654487
0.654718704,0.820547808
0.645883567,0.778396463
0.79783035,0.884789757
0.804722546,0.860081751
0.796511566,0.846613485
0.897979045,0.992479415
0.900353355,0.983697169
1,0.901137763
1,1.010699658
1,0.941481658
1,0.94693311
1,1.033065976
1,0.978291462
