chi_IL,chi_cell
0.148345495,0.190658053
0.149207498,0.142748225
0.21351592,0.322010364
0.209550446,0.306834223
0.275703099,0.388037226
0.28498231,0.366562348
0.353204774,0.499290845
0.349793914,0.513618247
0.441241698,0.611915293
0.477937432,0.426268335
0.600702013,0.719604911
0.58133415,0.695667712
0.148345495,0.211347671
0.149207498,0.170496655
0.21351592,0.342220395
0.209550446,0.33579372
0.275703099,0.413537836
0.28498231,0.401910037
0.353204774,0.520978934
0.349793914,0.538936737
0.441241698,0.638018934
0.477937432,0.561303715
0.600702013,0.745456352
0.58133415,0.734343874
1,0.876914249
1,0.983531006
1,0.916173658
1,0.921478569
1,1.005296095
1,0.951993977
