chi_IL,chi_cell
0.207950416,0.28144192
0.200909117,0.173936196
0.211436755,0.300145647
0.211383232,0.307502985
0.300270073,0.491823069
0.305614352,0.477586967
0.298702609,0.491897217
0.399099266,0.620444985
0.395765513,0.610983857
0.398162548,0.613449588
0.55662548,0.76278132
0.56608159,0.744208608
0.555614213,0.761522731
0.70244254,0.837797234
0.698175077,0.841728767
0.704581478,0.834737781
0.848722709,0.946694464
0.848522149,0.952556744
0.850320291,0.936099141
0.207950416,0.299512984
0.200909117,0.226684786
0.211436755,0.314859036
0.211383232,0.326278767
0.300270073,0.501950026
0.305614352,0.496865867
0.298702609,0.509244085
0.399099266,0.632577119
0.395765513,0.628790803
0.398162548,0.627656386
0.55662548,0.777273066
0.56608159,0.764098697
0.555614213,0.780316544
0.70244254,0.863331329
0.698175077,0.865453765
0.704581478,0.856900456
0.848722709,0.972384669
0.848522149,0.96370812
0.850320291,0.947270516
1,0.81027043
1,0.908784517
1,0.846546199
1,0.851447947
1,0.9288955
1,0.879644242
