chi_IL,chi_cell
0.052295976,0.056933763
0.051391216,0.072245652
0.051395069,0.061956964
0.078463113,0.130649167
0.07654833,0.125044911
0.112000435,0.211745077
0.107941901,0.210451648
0.112405276,0.222838994
0.150518736,0.275604158
0.148862094,0.257656868
0.204106447,0.357730075
0.202707575,0.361871012
0.203670037,0.347818559
0.251335075,0.420715329
0.250521639,0.474739632
0.295574074,0.518424541
0.310808757,0.512697197
0.298625221,0.504590547
0.398627278,0.590420531
0.394807105,0.519843607
0.396895167,0.555391722
0.501063478,0.644402825
0.508003069,0.653976487
0.501940623,0.643672323
0.602058167,0.7181248
0.605074347,0.734974049
0.602985859,0.731150612
0.701828403,0.795216997
0.698116346,0.804002476
0.696019836,0.786775453
0.847943895,0.834978224
0.851936067,0.866463112
0.851224443,0.892433101
0.931358708,0.894491564
0.931389387,0.907893784
0.930050714,0.935933547
0.052295976,0.062799613
0.051391216,0.076805753
0.051395069,0.066906428
0.078463113,0.136798908
0.07654833,0.134529299
0.112000435,0.229806306
0.107941901,0.234908647
0.112405276,0.231247935
0.150518736,0.28307884
0.148862094,0.266285139
0.204106447,0.36573932
0.202707575,0.38336351
0.203670037,0.358981986
0.251335075,0.434425319
0.250521639,0.487835668
0.295574074,0.5299087
0.310808757,0.52971842
0.298625221,0.51534507
0.398627278,0.606435034
0.394807105,0.551360888
0.396895167,0.571151029
0.501063478,0.655468989
0.508003069,0.670795736
0.501940623,0.655458747
0.602058167,0.738301399
0.605074347,0.755060904
0.602985859,0.747197236
0.701828403,0.808026672
0.698116346,0.811650428
0.696019836,0.808698705
0.847943895,0.86462278
0.851936067,0.896577766
0.851224443,0.93488228
0.931358708,0.9099975
0.931389387,0.925032643
0.930050714,0.952805001
1,0.813734469
1,0.912669719
1,0.850165323
1,0.855088026
1,0.93286668
1,0.883404864
