chi_IL,chi_cell
0.212011605,0.085492117
0.201137206,0.110178882
0.20094592,0.109922426
0.308143777,0.223792007
0.296621461,0.247065019
0.297548794,0.246190071
0.398352998,0.317944858
0.392227231,0.289825749
0.399906206,0.308307541
0.497876882,0.381028497
0.496837731,0.428059235
0.600663274,0.317358474
0.597789003,0.435153304
0.601181656,0.455638275
0.700986881,0.400537952
0.700422691,0.511477306
0.790922221,0.64123027
0.803187302,0.614515075
0.900334836,0.876977137
0.905916173,0.881348994
1,0.947462662
1,1.062656818
1,0.98988052
