chi_IL,chi_cell
0.499500884,0.209071836
0.503724966,0.363866695
0.50349798,0.257361931
0.589290298,0.490041455
0.594868923,0.594365968
0.686454101,0.661174288
0.685408455,0.782468689
0.794333073,0.892692352
0.797251578,0.852449518
0.499500884,0.235090773
0.503724966,0.392151458
0.50349798,0.28396029
0.589290298,0.518653848
0.594868923,0.627691354
0.686454101,0.704523546
0.685408455,0.797798711
0.794333073,0.914703243
0.797251578,0.890617031
1,0.884378105
1,0.991902331
1,0.923971671
1,0.929321735
1,1.013852673
1,0.960096874
