chi_IL,chi_cell
0.082187489,0.041663796
0.083451263,0.051054762
0.149694886,0.176237802
0.152529073,0.16469777
0.240453984,0.317597391
0.250654717,0.320568214
0.375678009,0.54601175
0.374081402,0.528303553
0.497048265,0.655568911
0.502531043,0.653152325
0.648281613,0.816755262
0.65048132,0.798700615
0.827116845,0.910401412
0.82967453,0.860329713
0.082187489,0.063198922
0.083451263,0.069035877
0.149694886,0.191577997
0.152529073,0.179938971
0.240453984,0.341254265
0.250654717,0.340126039
0.375678009,0.578936605
0.374081402,0.547922657
0.497048265,0.672675627
0.502531043,0.681004764
0.648281613,0.843545317
0.65048132,0.817885099
0.827116845,0.942053422
0.82967453,0.903274839
1,0.883273433
1,0.990663352
1,0.922817543
1,0.928160924
1,1.012586276
1,0.958897622
