chi_IL,chi_cell
0.334782138,0.332958125
0.341813195,0.201063067
0.334850953,0.327461421
0.457410734,0.552669882
0.450792178,0.527153777
0.446634453,0.523011182
0.526007413,0.62983452
0.544040284,0.648611647
0.531328064,0.65166197
0.608110825,0.764664521
0.610671328,0.729276318
0.729991467,0.850051906
0.729014866,0.826285645
0.720390772,0.816256544
0.865089264,0.851436257
0.866656213,0.884739723
0.865180824,0.901602219
0.334782138,0.387573288
0.341813195,0.311266758
0.334850953,0.347638726
0.457410734,0.589350223
0.450792178,0.550133583
0.446634453,0.554134526
0.526007413,0.657185213
0.544040284,0.670321668
0.531328064,0.669647111
0.608110825,0.786752693
0.610671328,0.738575838
0.729991467,0.879068755
0.729014866,0.838127755
0.720390772,0.830087102
0.865089264,0.886985227
0.866656213,0.905907325
0.865180824,0.91217555
1,0.926266781
1,1.038883906
1,0.967735701
1,0.973339171
1,1.061873929
1,1.005571979
