chi_IL,chi_cell
0.204103179,0.217483316
0.208780311,0.240671433
0.282279856,0.329472239
0.282647651,0.366502005
0.282973372,0.384199132
0.394519819,0.569833741
0.403173174,0.560131326
0.40427334,0.594048357
0.552238612,0.658599727
0.557242005,0.718699987
0.547155196,0.682094993
0.709023373,0.885946938
0.700390556,0.832432113
0.698361772,0.832274704
0.204103179,0.243882368
0.208780311,0.256810373
0.282279856,0.406113127
0.282647651,0.433718029
0.282973372,0.439764124
0.394519819,0.609758967
0.403173174,0.630482996
0.40427334,0.646048125
0.552238612,0.737970191
0.557242005,0.744743488
0.547155196,0.721472711
0.709023373,0.909935008
0.700390556,0.854469044
0.698361772,0.850798931
1,0.903206857
1,1.013020316
1,0.943643385
1,0.949107354
1,1.035437989
1,0.980537708
