vol_frac_IL,chi_cell
0.249668127,0.020927426
0.243708349,0.022969537
0.233096956,0.021088907
0.380308585,0.048012947
0.369362623,0.042854354
0.361068964,0.044243574
0.502640988,0.064117835
0.50614587,0.063185502
0.499871204,0.062334946
0.639745313,0.079049149
0.639580407,0.080915689
0.638829009,0.080712028
0.770459008,0.099827016
0.771609525,0.103424256
0.764690424,0.099645996
0.875486369,0.110135132
0.880128941,0.108347081
0.874594524,0.108727472
0.940056871,0.126225201
0.941515691,0.125616036
0.249668127,0.024649294
0.243708349,0.023700394
0.233096956,0.022320461
0.380308585,0.049590969
0.369362623,0.045938262
0.361068964,0.045862747
0.502640988,0.067764808
0.50614587,0.067170391
0.499871204,0.064810293
0.639745313,0.085151567
0.639580407,0.082316432
0.638829009,0.082118091
0.770459008,0.105002988
0.771609525,0.106679246
0.764690424,0.101199159
0.875486369,0.115031328
0.880128941,0.111819046
0.874594524,0.110068039
0.940056871,0.129032038
0.941515691,0.12789026
1,0.117914662
1,0.132250931
1,0.123193696
1,0.123907023
1,0.135177584
1,0.128010291
