vol_frac_IL,chi_cell
0.258918851,0.024787413
0.260227047,0.018558666
0.352556746,0.041864499
0.34714878,0.039891452
0.432947526,0.050448637
0.444272821,0.047656693
0.522749223,0.064912697
0.519014904,0.066775399
0.612994559,0.079554977
0.647423702,0.055419056
0.751089709,0.093555681
0.7358082,0.090443611
0.258918851,0.027477266
0.260227047,0.022166234
0.352556746,0.044492001
0.34714878,0.04365647
0.432947526,0.053763966
0.444272821,0.052252238
0.522749223,0.06773236
0.519014904,0.070067051
0.612994559,0.082948706
0.647423702,0.072974977
0.751089709,0.096916622
0.7358082,0.095471891
1,0.117914662
1,0.132250931
1,0.123193696
1,0.123907023
1,0.135177584
1,0.128010291
