vol_frac_IL,chi_cell
0.16194804,0.005416701
0.164218828,0.006637619
0.275317105,0.022912639
0.27974722,0.021412322
0.405884121,0.041290769
0.419229292,0.041677005
0.564943952,0.070986871
0.563268685,0.068684633
0.680784288,0.085230375
0.685531329,0.084916195
0.799100166,0.106186178
0.800646686,0.103838897
0.911695541,0.118361094
0.913133358,0.111851283
0.16194804,0.008216478
0.164218828,0.00897534
0.275317105,0.024907015
0.27974722,0.023393827
0.405884121,0.044366394
0.419229292,0.044219714
0.564943952,0.075267425
0.563268685,0.071235308
0.680784288,0.087454415
0.685531329,0.088537285
0.799100166,0.109669147
0.800646686,0.106333068
0.911695541,0.122476165
0.913133358,0.11743457
1,0.117914662
1,0.132250931
1,0.123193696
1,0.123907023
1,0.135177584
1,0.128010291
