vol_frac_IL,chi_cell
0.308494146,0.02827496
0.314617827,0.031289642
0.40624615,0.042834616
0.406683943,0.047648848
0.407071489,0.049949647
0.531289735,0.074083963
0.540266197,0.072822555
0.541401105,0.077232101
0.682090351,0.08562441
0.686466552,0.093438032
0.677620544,0.088679025
0.809122846,0.115181773
0.802633138,0.108224322
0.801100072,0.108203857
0.308494146,0.031707095
0.314617827,0.033387862
0.40624615,0.052798681
0.406683943,0.056387589
0.407071489,0.05717364
0.531289735,0.079274634
0.540266197,0.08196896
0.541401105,0.083992579
0.682090351,0.095943348
0.686466552,0.096823942
0.677620544,0.093798514
0.809122846,0.118300457
0.802633138,0.111089339
0.801100072,0.110612188
1,0.117914662
1,0.132250931
1,0.123193696
1,0.123907023
1,0.135177584
1,0.128010291
